Year	Month	Anomaly
1821	6	-2.251
1821	7	-2.303
1821	8	-3.131
1821	9	-2.039
1821	10	-0.257
1821	11	1.173
1821	12	2.126
1822	1	4.975
1822	2	5.513
1822	3	4.329
1822	4	2.047
1822	5	-1.767
1822	6	-2.907
1822	7	-1.102
1822	8	-1.194
1822	9	-0.774
1822	10	0.289
1822	11	1.121
1822	12	-0.244
1823	1	-4.664
1823	2	-1.16
1823	3	2.805
1823	4	-1.955
1823	5	-0.413
1823	6	1.101
1823	7	0.456
1823	8	0.451
1823	9	0.482
1823	10	-0.112
1823	11	-0.655
1823	12	1.688
1824	1	3.505
1824	2	2.82
1824	3	3.05
1824	4	-0.19
1824	5	-2.591
1824	6	-2.494
1824	7	-1.651
1824	8	-1.064
1824	9	1.536
1824	10	0.032
1824	11	2.594
1824	12	4.414
1825	1	4.006
1825	2	-0.26
1825	3	-1.432
1825	4	-1.161
1825	5	-3.285
1825	6	-0.839
1825	7	-2.442
1825	8	-1.519
1825	9	-1.654
1825	10	0.285
1825	11	1.942
1825	12	-0.321
1826	1	-0.617
1826	2	-0.584
1826	3	0.713
1826	4	-0.431
1826	5	0.51
1826	6	0.083
1826	7	1.954
1826	8	0.88
1826	9	0.87
1826	10	-0.965
1826	11	1.616
1826	12	4.208
1827	1	2.743
1827	2	-0.181
1827	3	1.578
1827	4	1.338
1827	5	0.984
1827	6	1.002
1827	7	0.178
1827	8	-0.469
1827	9	-0.091
1827	10	-2.317
1827	11	-1.408
1827	12	-0.719
1828	1	-3.939
1828	2	-4.102
1828	3	-0.049
1828	4	0.398
1828	5	0.008
1828	6	0.695
1828	7	0.824
1828	8	0.249
1828	9	-1.458
1828	10	-1.787
1828	11	-1.979
1828	12	-5.36
1829	1	-4.39
1829	2	-2.214
1829	3	-2.739
1829	4	-2.485
1829	5	-1.163
1829	6	-0.353
1829	7	1.15
1829	8	-0.21
1829	9	1.447
1829	10	-1.489
1829	11	-3.172
1829	12	-4.864
1830	1	-3.355
1830	2	-1.44
1830	3	-0.567
1830	4	-0.745
1830	5	-1.255
1830	6	-0.13
1830	7	-0.189
1830	8	0.638
1830	9	-1.198
1830	10	-1.114
1830	11	0.505
1830	12	2.746
1831	1	-0.443
1831	2	1.237
1831	3	-1.382
1831	4	0.033
1831	5	-0.184
1831	6	0.168
1831	7	0.148
1831	8	-1.488
1831	9	-1.648
1831	10	-1.798
1831	11	-1.063
1831	12	-1.381
1832	1	1.125
1832	2	1.506
1832	3	-0.673
1832	4	-2.034
1832	5	-1.012
1832	6	-2.387
1832	7	-2.631
1832	8	-2.053
1832	9	-1.969
1832	10	-1.216
1832	11	-4.19
1832	12	-2.89
1833	1	-0.659
1833	2	1.538
1833	3	-1.265
1833	4	-0.522
1833	5	-0.932
1833	6	2.345
1833	7	0.309
1833	8	-2.156
1833	9	-0.905
1833	10	-0.974
1833	11	1.579
1833	12	-1.008
1834	1	-2.816
1834	2	-0.578
1834	3	1.396
1834	4	-1.891
1834	5	-0.31
1834	6	-0.759
1834	7	-0.115
1834	8	2.048
1834	9	-0.877
1834	10	0.379
1834	11	0.75
1834	12	-0.722
1835	1	2.877
1835	2	3.417
1835	3	1.573
1835	4	-0.835
1835	5	-2.31
1835	6	-0.699
1835	7	-1.278
1835	8	-4.082
1835	9	-1.277
1835	10	-0.745
1835	11	-3.771
1835	12	-7.976
1836	1	-0.445
1836	2	1.982
1836	3	5.06
1836	4	2.264
1836	5	-2.876
1836	6	-2.811
1836	7	-1.974
1836	8	-1.679
1836	9	-1.268
1836	10	1.413
1836	11	-0.599
1836	12	-0.493
1837	1	0.65
1837	2	0.194
1837	3	0.342
1837	4	0.236
1837	5	-0.987
1837	6	-1.335
1837	7	-3.021
1837	8	-1.123
1837	9	-1.653
1837	10	-2.444
1837	11	-0.101
1837	12	-4.918
1838	1	-6.682
1838	2	-3.186
1838	3	-0.998
1838	4	-0.277
1838	5	0.331
1838	6	-2.036
1838	7	-0.731
1838	8	-1.358
1838	9	1.297
1838	10	-2.072
1838	11	-1.077
1838	12	1.184
1839	1	3.164
1839	2	-0.214
1839	3	-4.437
1839	4	-3.82
1839	5	2.745
1839	6	-0.51
1839	7	2.492
1839	8	2.562
1839	9	1.526
1839	10	-0.348
1839	11	-1.599
1839	12	-9.459
